"";"point";"nstrates";"Hdom";"ST";"essence";"type_peupl";"longitude";"latitude";"sr";"even";"ab"
"1";"PT10";6;30;23;"CHE";"Regeneration";0,582348041;48,64730183;11;0,949341996554006;20
"4";"PT116";5,66666666666667;22,6666666666667;26,3333333333333;"CHE";"Perchis";0,585785072;48,63386588;14;0,956465641480192;18
"5";"PT119";6;33,75;27;"CHE";"Jeune_futaie";0,595953972;48,63401566;17;0,975223046633726;27
"7";"PT120";6;33,5;27,5;"CHE";"Jeune_futaie";0,599343618;48,63406539;8;0,951796180735845;12
"8";"PT122";5,66666666666667;30,3333333333333;30,3333333333333;"CHE";"Futaie";0,60612293;48,63416457;14;0,980249797501832;22
"9";"PT123";6;31,3333333333333;32,3333333333333;"CHE";"Futaie";0,609512595;48,63421401;13;0,955080825625704;23
"10";"PT129";6;33;28,3333333333333;"CHE";"Jeune_futaie";0,640019873;48,63465464;14;0,969098969687209;21
"12";"PT132";5,75;21,25;20,25;"CHE";"Perchis";0,65018908;48,63479977;10;0,930192553341903;19
"13";"PT133";6;26;27,25;"CHE";"Perchis";0,653578828;48,63484796;14;0,949832269412064;19
"14";"PT134";6;27;28,75;"CHE";"Jeune_futaie";0,656968583;48,63489604;15;0,960979519092106;22
"15";"PT135";5,25;26,5;28,25;"CHE";"Jeune_futaie";0,660358344;48,63494403;16;0,955766995568415;22
"16";"PT136";5;26,6666666666667;29,6666666666667;"CHE";"Perchis";0,663748111;48,63499192;13;0,96540722817577;18
"17";"PT137";6;27,5;32;"CHE";"Futaie";0,667137884;48,63503972;15;0,953610208665647;21
"18";"PT138";5,5;27,5;33,5;"CHE";"Jeune_futaie";0,670527663;48,63508742;11;0,939460685533135;16
"19";"PT139";6;26,5;29,5;"CHE";"Jeune_futaie";0,673917449;48,63513502;12;0,943268022365344;17
"21";"PT140";6;30;39;"CHE";"Futaie";0,67730724;48,63518253;15;0,952576385976388;19
"22";"PT141";6;30;39;"CHE";"Futaie";0,680697038;48,63522993;12;0,957227185823316;19
"23";"PT142";6;30;39;"CHE";"Futaie";0,684086843;48,63527725;13;0,941559378118842;20
"24";"PT143";6;30;39;"CHE";"Futaie";0,687476653;48,63532446;15;0,946493312927913;22
"25";"PT15";5,5;20,5;21,6666666666667;"CHE";"Perchis";0,602284262;48,64759515;12;0,976084839500771;17
"26";"PT16";5,4;17,6;15,2;"CHE";"Perchis";0,605674798;48,64764471;16;0,971045929944797;20
"27";"PT17";5,8;28,2;19,4;"CHE";"Vieille_futaie";0,60906534;48,64769416;13;0,958383223292328;20
"28";"PT170";5,5;30;30;"CHE";"Vieille_futaie";0,586790263;48,6293851;14;0,982559634441204;23
"29";"PT171";6;33,6666666666667;31,3333333333333;"CHE";"Regeneration";0,589325486;48,62942251;13;0,966538551452305;19
"30";"PT172";6;34;28;"CHE";"Vieille_futaie";0,592714827;48,62947243;11;0,951824044215114;17
"31";"PT173";5,66666666666667;28;21;"CHE";"Vieille_futaie";0,596104174;48,62952226;12;0,953812472224891;18
"32";"PT174";5,66666666666667;24,6666666666667;17,3333333333333;"CHE";"Vieille_futaie";0,599493528;48,62957199;10;0,957526140346302;13
"33";"PT175";5,66666666666667;24;15,6666666666667;"CHE";"Regeneration";0,602882889;48,62962162;19;0,985587520658061;22
"34";"PT176";5,66666666666667;23,3333333333333;15,6666666666667;"CHE";"Regeneration";0,606272256;48,62967116;11;0,980723940941842;13
"35";"PT177";5,33333333333333;26,6666666666667;17;"CHE";"Regeneration";0,609661629;48,6297206;16;0,971045929944797;20
"36";"PT178";5;19,6666666666667;14,3333333333333;"CHE";"Perchis";0,613051009;48,62976994;9;0,930688285550101;14
"37";"PT180";5,66666666666667;24,3333333333333;28,3333333333333;"CHE";"Perchis";0,633387422;48,63006396;6;0,935944697445866;9
"38";"PT181";5,66666666666667;27,6666666666667;29;"CHE";"Gaulis";0,636776846;48,63011262;17;0,962988677084999;23
"39";"PT182";5,33333333333333;24;29,6666666666667;"CHE";"Gaulis";0,640166277;48,63016119;13;0,945624792796567;21
"40";"PT185";5,5;31;29,75;"CHE";"Futaie";0,650334607;48,63030631;14;0,949832269412064;19
"41";"PT186";6;31,3333333333333;33,6666666666667;"CHE";"Futaie";0,653724063;48,63035449;15;0,971272007926115;18
"45";"PT191";6;34;37;"CHE";"Vieille_futaie";0,670671437;48,63059393;10;0,931106610203966;14
"46";"PT192";6;30;34,3333333333333;"CHE";"Vieille_futaie";0,67406093;48,63064153;11;0,923647664339402;19
"47";"PT193";6;29,3333333333333;31,6666666666667;"CHE";"Vieille_futaie";0,67745043;48,63068903;12;0,941432441572563;16
"48";"PT195";5,33333333333333;32,6666666666667;24;"CHE";"Jeune_futaie";0,684229447;48,63078374;15;0,957436987653376;24
"49";"PT196";5,33333333333333;32,6666666666667;25;"CHE";"Jeune_futaie";0,687618965;48,63083095;11;0,96062931577953;15
"50";"PT229";6;25;35;"CHE";"Jeune_futaie";0,565753087;48,62457696;14;0,949832269412064;19
"52";"PT231";6;30,5;36;"CHE";"Jeune_futaie";0,5725311;48,62467806;12;0,982336812626325;14
"53";"PT234";5,75;25,5;24,25;"CHE";"Perchis";0,582698168;48,62482898;15;0,944409279427201;21
"54";"PT235";5,5;22;22,25;"CHE";"Perchis";0,589476246;48,62492911;13;0,951793699437292;24
"55";"PT236";5,25;15,25;15,75;"CHE";"Perchis";0,592865295;48,62497903;17;0,981382632116924;21
"56";"PT237";5,33333333333333;17;15,6666666666667;"CHE";"Perchis";0,596254351;48,62502885;15;0,973538613820657;24
"57";"PT238";5,66666666666667;26,6666666666667;19;"CHE";"Vieille_futaie";0,599643413;48,62507857;17;0,972588173229183;21
"58";"PT239";5,66666666666667;23,3333333333333;19;"CHE";"Vieille_futaie";0,603032481;48,6251282;14;0,944084728255095;21
"59";"PT240";6;27,5;28,5;"CHE";"Vieille_futaie";0,606421556;48,62517773;9;0,931510849553618;16
"60";"PT241";6;31,5;33,5;"CHE";"Vieille_futaie";0,609810637;48,62522717;16;0,980482023721841;20
"61";"PT242";6;31,5;33;"CHE";"Vieille_futaie";0,613199725;48,62527651;11;0,976687463710328;14
"62";"PT243";5,33333333333333;28,3333333333333;25,6666666666667;"CHE";"Vieille_futaie";0,630145259;48,62552174;8;0,947456997725703;14
"63";"PT244";5,75;29,5;29,25;"CHE";"Vieille_futaie";0,633534385;48,6255705;7;0,957742056202218;12
"64";"PT245";5,75;29;29,75;"CHE";"Vieille_futaie";0,636923517;48,62561916;5;0,934977529767123;10
"65";"PT248";6;30,5;35;"CHE";"Vieille_futaie";0,647090952;48,62576456;13;0,950164820691228;22
"66";"PT249";6;32,5;33;"CHE";"Vieille_futaie";0,650480109;48,62581283;14;0,967480688782894;18
"67";"PT250";6;32;33,5;"CHE";"Vieille_futaie";0,653869273;48,62586101;12;0,963139650810911;16
"68";"PT251";6;28;28;"CHE";"Vieille_futaie";0,657258443;48,62590909;10;0,940718736449941;16
"69";"PT252";6;35,3333333333333;34,3333333333333;"CHE";"Vieille_futaie";0,660647619;48,62595707;10;0,945105424412619;15
"70";"PT253";6;35,3333333333333;34,3333333333333;"CHE";"Vieille_futaie";0,664036802;48,62600495;10;0,960255009846156;15
"71";"PT254";5,33333333333333;35;34,3333333333333;"CHE";"Vieille_futaie";0,667425991;48,62605274;8;0,957635198440019;15
"72";"PT255";5,33333333333333;34;33;"CHE";"Vieille_futaie";0,670815186;48,62610043;12;0,938947430675234;19
"73";"PT256";6;32,5;32;"CHE";"Vieille_futaie";0,674204387;48,62614803;14;0,951100072635856;23
"74";"PT257";6;30,5;36;"CHE";"Vieille_futaie";0,677593594;48,62619552;10;0,931106610203966;14
"75";"PT258";6;31;40,5;"CHE";"Vieille_futaie";0,680982808;48,62624292;13;0,955801740642573;19
"76";"PT259";6;33,3333333333333;38,3333333333333;"CHE";"Vieille_futaie";0,684372028;48,62629023;12;0,95003009085885;19
"77";"PT260";6;33;33,6666666666667;"CHE";"Futaie";0,687761253;48,62633743;14;0,977479588889663;19
"82";"PT292";6;23;29;"CHE";"Futaie";0,60657083;48,62068429;18;0,959640560922252;24
