"region";"placette";"latitude";"longitude";"annee";"nbpins";"nbpinsattac"
"Grand Ouest cristallin et oceanique";"29141";47,95327323;-4,11657592;2012;160;2
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1991;240;50
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1986;250;0
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1992;170;35
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1990;248;24
"Grand Ouest cristallin et oceanique";"29141";47,95327323;-4,11657592;2009;200;1
"Grand Ouest cristallin et oceanique";"29141";47,95327323;-4,11657592;2010;200;0
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;1997;189;10
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;1998;189;12
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;1999;189;5
"Grand Ouest cristallin et oceanique";"29141";47,95327323;-4,11657592;2011;200;0
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2001;189;8
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2002;189;8
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2003;189;14
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2000;189;15
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1988;250;0
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1989;250;3
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2007;120;8
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;2002;40;1
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;2003;40;0
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;2004;40;0
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1993;170;30
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1994;170;1
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1995;170;20
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1996;170;33
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1997;170;21
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1998;170;29
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1987;250;2
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2005;189;27
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2006;189;27
"Grand Ouest cristallin et oceanique";"29141";47,95327323;-4,11657592;2008;200;0
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;1994;195;1
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;1995;195;7
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;1996;195;17
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1990;55;0
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1991;55;9
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1992;55;29
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1993;55;30
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1995;40;0
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1996;40;0
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;2004;189;15
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2000;160;30
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2001;160;14
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;2000;40;0
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;2001;40;0
"Grand Ouest cristallin et oceanique";"56191";47,71604178;-2,49447497;1988;290;0
"Grand Ouest cristallin et oceanique";"56191";47,71604178;-2,49447497;1989;290;0
"Grand Ouest cristallin et oceanique";"56191";47,71604178;-2,49447497;1990;290;0
"Grand Ouest cristallin et oceanique";"56191";47,71604178;-2,49447497;1991;290;3
"Grand Ouest cristallin et oceanique";"56521";47,71419881;-2,83570788;2008;360;0
"Grand Ouest cristallin et oceanique";"56521";47,71419881;-2,83570788;2009;360;0
"Grand Ouest cristallin et oceanique";"56521";47,71419881;-2,83570788;2010;360;1
"Grand Ouest cristallin et oceanique";"56521";47,71419881;-2,83570788;2011;279;0
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1997;40;2
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1998;150;1
"Grand Ouest cristallin et oceanique";"44141";47,566613;-1,76254862;1999;150;0
"Grand Ouest cristallin et oceanique";"35131";47,72559538;-1,88297081;1992;195;22
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2002;160;10
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2003;160;13
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2004;160;11
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2005;160;17
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2006;160;24
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;2007;140;26
"Grand Ouest cristallin et oceanique";"35111";48,0254496;-1,74684276;1986;90;1
"Grand Ouest cristallin et oceanique";"35111";48,0254496;-1,74684276;1987;90;4
"Grand Ouest cristallin et oceanique";"35111";48,0254496;-1,74684276;1988;80;2
"Grand Ouest cristallin et oceanique";"56521";47,71419881;-2,83570788;2012;279;0
"Grand Ouest cristallin et oceanique";"35051";47,78486632;-1,93714403;1999;170;22
