maille;espece;effectif;heterogeneite;configuration;prairies;haies
A_1;bergeronnette_printaniere;0;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;fauvette_des_jardins;0;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;grimpereau_des_jardins;1;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;corbeau_freux;1;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;bergeronnette_grise;0;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;pouillot_fitis;0;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;mesange_charbonniere;2;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;rougequeue_noir;0;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;tourterelle_des_bois;0;-0,211247314;-0,768362675;0,82343514;0,835706882
A_1;tarier_patre;0;-0,211247314;-0,768362675;0,82343514;0,835706882
A_143;mesange_charbonniere;4;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;tarier_patre;2;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;pouillot_fitis;0;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;tourterelle_des_bois;0;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;bergeronnette_grise;2;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;rougequeue_noir;1;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;bergeronnette_printaniere;0;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;corbeau_freux;0;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;fauvette_des_jardins;0;-0,537570293;1,267432528;1,833665608;-0,778204391
A_143;grimpereau_des_jardins;1;-0,537570293;1,267432528;1,833665608;-0,778204391
A_16;fauvette_des_jardins;0;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;tarier_patre;1;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;mesange_charbonniere;2;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;grimpereau_des_jardins;0;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;pouillot_fitis;0;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;bergeronnette_grise;0;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;tourterelle_des_bois;0;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;rougequeue_noir;0;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;bergeronnette_printaniere;0;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_16;corbeau_freux;25;-0,948653458;-2,123973967;-0,060844736;0,817057322
A_166;pouillot_fitis;0;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;tourterelle_des_bois;0;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;bergeronnette_grise;0;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;tarier_patre;0;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;rougequeue_noir;0;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;corbeau_freux;2;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;grimpereau_des_jardins;1;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;fauvette_des_jardins;0;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;bergeronnette_printaniere;0;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_166;mesange_charbonniere;4;1,908804699;-0,939597786;-0,928692592;-0,704835743
A_182;rougequeue_noir;0;1,28735468;0,230508803;0,853419343;0,716954162
A_182;pouillot_fitis;0;1,28735468;0,230508803;0,853419343;0,716954162
A_182;mesange_charbonniere;2;1,28735468;0,230508803;0,853419343;0,716954162
A_182;tourterelle_des_bois;0;1,28735468;0,230508803;0,853419343;0,716954162
A_182;grimpereau_des_jardins;4;1,28735468;0,230508803;0,853419343;0,716954162
A_182;bergeronnette_printaniere;0;1,28735468;0,230508803;0,853419343;0,716954162
A_182;tarier_patre;1;1,28735468;0,230508803;0,853419343;0,716954162
A_182;bergeronnette_grise;1;1,28735468;0,230508803;0,853419343;0,716954162
A_182;corbeau_freux;0;1,28735468;0,230508803;0,853419343;0,716954162
A_182;fauvette_des_jardins;0;1,28735468;0,230508803;0,853419343;0,716954162
A_199;mesange_charbonniere;2;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;tarier_patre;0;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;pouillot_fitis;0;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;fauvette_des_jardins;0;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;grimpereau_des_jardins;1;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;rougequeue_noir;0;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;tourterelle_des_bois;0;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;corbeau_freux;4;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;bergeronnette_printaniere;0;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_199;bergeronnette_grise;1;-1,23854377;-0,820684515;-1,071329308;-0,929265022
A_213;fauvette_des_jardins;0;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;grimpereau_des_jardins;2;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;tarier_patre;0;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;pouillot_fitis;0;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;rougequeue_noir;0;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;tourterelle_des_bois;1;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;corbeau_freux;0;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;mesange_charbonniere;2;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;bergeronnette_grise;0;0,696277686;0,068786754;-0,136991059;-1,122936355
A_213;bergeronnette_printaniere;0;0,696277686;0,068786754;-0,136991059;-1,122936355
A_242;tourterelle_des_bois;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;pouillot_fitis;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;tarier_patre;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;grimpereau_des_jardins;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;bergeronnette_grise;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;rougequeue_noir;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;bergeronnette_printaniere;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;mesange_charbonniere;1;1,078109983;1,510015601;1,14436775;2,189707726
A_242;corbeau_freux;0;1,078109983;1,510015601;1,14436775;2,189707726
A_242;fauvette_des_jardins;1;1,078109983;1,510015601;1,14436775;2,189707726
A_25;tarier_patre;1;0,43541381;0,549196369;0,327509979;0,180752519
A_25;mesange_charbonniere;4;0,43541381;0,549196369;0,327509979;0,180752519
A_25;tourterelle_des_bois;0;0,43541381;0,549196369;0,327509979;0,180752519
A_25;fauvette_des_jardins;0;0,43541381;0,549196369;0,327509979;0,180752519
A_25;grimpereau_des_jardins;2;0,43541381;0,549196369;0,327509979;0,180752519
A_25;pouillot_fitis;0;0,43541381;0,549196369;0,327509979;0,180752519
A_25;rougequeue_noir;0;0,43541381;0,549196369;0,327509979;0,180752519
A_25;bergeronnette_printaniere;0;0,43541381;0,549196369;0,327509979;0,180752519
A_25;bergeronnette_grise;0;0,43541381;0,549196369;0,327509979;0,180752519
A_25;corbeau_freux;0;0,43541381;0,549196369;0,327509979;0,180752519
A_260;tourterelle_des_bois;0;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;pouillot_fitis;0;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;rougequeue_noir;1;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;grimpereau_des_jardins;2;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;corbeau_freux;0;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;fauvette_des_jardins;1;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;tarier_patre;0;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;bergeronnette_printaniere;1;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;mesange_charbonniere;2;-1,563744592;0,10208247;-1,088269535;0,784588511
A_260;bergeronnette_grise;2;-1,563744592;0,10208247;-1,088269535;0,784588511
A_271;tourterelle_des_bois;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;pouillot_fitis;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;mesange_charbonniere;2;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;tarier_patre;1;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;rougequeue_noir;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;bergeronnette_printaniere;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;grimpereau_des_jardins;2;-0,992941216;-0,268926936;-2,000161983;0,047606929
