"";"ID";"individu";"espece";"T5_inf70";"T10_inf70";"T15_inf70";"T5_sup70";"T10_sup70";"T15_sup70";"tot_inf70";"tot_sup70";"TOT";"transit";"chanteur";"observateur"
"37";"001B_1";12;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"39";"001B_1";14;"corneille noire";0;0;0;2;0;0;0;2;2;"oui";"non";"mony"
"60";"001C_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"mony"
"61";"001C_1";2;"corneille noire";0;0;0;3;3;1;0;3;3;"non";"non";"mony"
"77";"001C_1";18;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"mony"
"84";"001C_1";25;"corneille noire";0;0;0;0;2;0;0;2;2;"oui";"non";"mony"
"90";"001C_1";31;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"mony"
"97";"001D_1";4;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"113";"001D_1";20;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"115";"001D_1";22;"corneille noire";0;0;0;3;1;1;0;3;3;"non";"non";"mony"
"120";"001D_1";27;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"129";"016A_1";8;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"132";"016A_1";11;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"134";"016A_1";13;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"135";"016A_1";14;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"140";"016A_1";19;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"142";"016A_1";21;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"mony"
"146";"016A_1";25;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"153";"016B_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"160";"016B_1";8;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"166";"016B_1";14;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"176";"016B_1";24;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"178";"016B_1";26;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"185";"016C_1";3;"corneille noire";0;0;0;0;4;0;0;4;4;"non";"non";"mony"
"186";"016C_1";4;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"mony"
"187";"016C_1";5;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"188";"016C_1";6;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"189";"016C_1";7;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"195";"016C_1";13;"corneille noire";0;0;0;4;0;0;0;4;4;"non";"non";"mony"
"218";"016D_1";3;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"mony"
"236";"016D_1";21;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"237";"016D_1";22;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"244";"016D_1";29;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"245";"016D_1";30;"corneille noire";0;0;0;0;0;4;0;4;4;"non";"non";"mony"
