maille;periode;espece;nombre
1;1;accenteur mouchet;8
16;1;accenteur mouchet;4
25;1;accenteur mouchet;2
30;1;accenteur mouchet;1
63;1;accenteur mouchet;3
143;1;accenteur mouchet;2
166;1;accenteur mouchet;3
168;1;accenteur mouchet;7
182;1;accenteur mouchet;1
199;1;accenteur mouchet;3
213;1;accenteur mouchet;1
242;1;accenteur mouchet;1
260;1;accenteur mouchet;3
271;1;accenteur mouchet;3
354;1;accenteur mouchet;3
385;1;accenteur mouchet;5
434;1;accenteur mouchet;1
443;1;accenteur mouchet;3
452;1;accenteur mouchet;2
490;1;accenteur mouchet;3
506;1;accenteur mouchet;4
524;1;accenteur mouchet;1
682;1;accenteur mouchet;2
689;1;accenteur mouchet;3
695;1;accenteur mouchet;3
708;1;accenteur mouchet;6
16;2;accenteur mouchet;2
58;2;accenteur mouchet;2
143;2;accenteur mouchet;1
166;2;accenteur mouchet;2
168;2;accenteur mouchet;1
182;2;accenteur mouchet;5
213;2;accenteur mouchet;1
242;2;accenteur mouchet;3
260;2;accenteur mouchet;1
271;2;accenteur mouchet;1
354;2;accenteur mouchet;1
385;2;accenteur mouchet;3
434;2;accenteur mouchet;1
443;2;accenteur mouchet;1
452;2;accenteur mouchet;7
490;2;accenteur mouchet;2
506;2;accenteur mouchet;5
524;2;accenteur mouchet;1
682;2;accenteur mouchet;3
689;2;accenteur mouchet;3
695;2;accenteur mouchet;1
708;2;accenteur mouchet;2
771;2;accenteur mouchet;3
354;1;aigrette garzette;1
354;2;aigrette garzette;1
58;1;alouette des champs;1
143;1;alouette des champs;3
166;1;alouette des champs;1
199;1;alouette des champs;1
213;1;alouette des champs;6
260;1;alouette des champs;2
271;1;alouette des champs;3
354;1;alouette des champs;4
452;1;alouette des champs;1
490;1;alouette des champs;4
682;1;alouette des champs;1
791;1;alouette des champs;2
58;2;alouette des champs;3
199;2;alouette des champs;3
213;2;alouette des champs;1
271;2;alouette des champs;2
354;2;alouette des champs;7
443;2;alouette des champs;1
452;2;alouette des champs;1
490;2;alouette des champs;9
524;2;alouette des champs;1
