point;espece;total
001A_1;pinson des arbres;2
001A_2;pinson des arbres;1
001B_1;pinson des arbres;5
001B_2;pinson des arbres;4
001C_1;pinson des arbres;4
001C_2;pinson des arbres;2
001D_1;pinson des arbres;4
001D_2;pinson des arbres;3
016A_1;pinson des arbres;3
016A_2;pinson des arbres;1
016B_1;pinson des arbres;1
016B_2;pinson des arbres;1
016C_1;pinson des arbres;3
016C_2;pinson des arbres;2
016D_1;pinson des arbres;4
016D_2;pinson des arbres;5
025A_1;pinson des arbres;5
025B_1;pinson des arbres;2
025C_1;pinson des arbres;3
025D_1;pinson des arbres;5
030A_1;pinson des arbres;4
030B_1;pinson des arbres;9
030C_1;pinson des arbres;3
030D_1;pinson des arbres;2
053A_1;pinson des arbres;0
053B_1;pinson des arbres;0
053C_1;pinson des arbres;0
053D_1;pinson des arbres;2
058A_1;pinson des arbres;4
058A_2;pinson des arbres;5
058B_1;pinson des arbres;7
058B_2;pinson des arbres;4
058C_1;pinson des arbres;4
058C_2;pinson des arbres;2
058D_1;pinson des arbres;4
058D_2;pinson des arbres;4
063A_1;pinson des arbres;1
063B_1;pinson des arbres;2
063C_1;pinson des arbres;3
063D_1;pinson des arbres;3
143A_1;pinson des arbres;5
143A_2;pinson des arbres;5
143B_1;pinson des arbres;5
143B_2;pinson des arbres;4
143C_1;pinson des arbres;2
143C_2;pinson des arbres;4
143D_1;pinson des arbres;5
143D_2;pinson des arbres;5
166A_1;pinson des arbres;3
166A_2;pinson des arbres;4
166B_1;pinson des arbres;2
166B_2;pinson des arbres;3
166C_1;pinson des arbres;4
166C_2;pinson des arbres;2
166D_1;pinson des arbres;6
166D_2;pinson des arbres;3
168A_1;pinson des arbres;2
168A_2;pinson des arbres;4
168B_1;pinson des arbres;3
168B_2;pinson des arbres;3
168C_1;pinson des arbres;2
168C_2;pinson des arbres;2
168D_1;pinson des arbres;5
168D_2;pinson des arbres;3
182A_1;pinson des arbres;4
182B_1;pinson des arbres;3
182C_1;pinson des arbres;3
182D_1;pinson des arbres;2
199A_1;pinson des arbres;2
199A_2;pinson des arbres;1
199B_1;pinson des arbres;5
199B_2;pinson des arbres;3
199C_1;pinson des arbres;4
199C_2;pinson des arbres;1
199D_1;pinson des arbres;4
199D_2;pinson des arbres;1
213A_1;pinson des arbres;3
213B_1;pinson des arbres;4
213C_1;pinson des arbres;3
213D_1;pinson des arbres;5
