POSTE;mois;temperature_moyenne
Carcassonne;1;6,8
Carcassonne;2;6,9
Carcassonne;3;9,2
Carcassonne;4;11,8
Carcassonne;5;15,7
Carcassonne;6;21,9
Carcassonne;7;22,8
Carcassonne;8;23
Carcassonne;9;20
Carcassonne;10;16,6
Carcassonne;11;8,6
Carcassonne;12;7,1
Nimes;1;6,8
Nimes;2;7,5
Nimes;3;9,6
Nimes;4;13,3
Nimes;5;16,8
Nimes;6;22,9
Nimes;7;24,7
Nimes;8;24
Nimes;9;20,8
Nimes;10;17
Nimes;11;10,2
Nimes;12;7,4
Montpellier;1;7,4
Montpellier;2;7,5
Montpellier;3;9,8
Montpellier;4;13,2
Montpellier;5;16,5
Montpellier;6;22,3
Montpellier;7;23,7
Montpellier;8;23,5
Montpellier;9;20,3
Montpellier;10;17,3
Montpellier;11;10,3
Montpellier;12;8,2
Perpignan;1;9
Perpignan;2;8,4
Perpignan;3;10,5
Perpignan;4;13,4
Perpignan;5;16,4
Perpignan;6;22,7
Perpignan;7;24
Perpignan;8;24,9
Perpignan;9;21,4
Perpignan;10;17,6
Perpignan;11;11,3
Perpignan;12;9,6
