rs;latitude;longitude
18;48.41115;0.56226
15;48.40139;0.51194
8;48.40165;0.52881
10;48.4017;0.53219
12;48.40176;0.53556
12;48.40181;0.53894
8;48.40186;0.54231
13;48.40191;0.54569
11;48.40196;0.54906
9;48.40201;0.55244
11;48.40206;0.55581
16;48.4112;0.56563
10;48.40211;0.55919
10;48.40216;0.56256
16;48.40222;0.56593
14;48.40227;0.56931
11;48.40232;0.57268
13;48.40237;0.57606
14;48.40242;0.57943
15;48.40247;0.58281
12;48.41125;0.56901
14;48.4113;0.57238
12;48.41136;0.57576
11;48.41141;0.57913
16;48.3961;0.46149
15;48.39616;0.46486
16;48.39621;0.46823
15;48.39627;0.47161
15;48.39632;0.47498
13;48.39637;0.47836
17;48.39643;0.48173
13;48.39648;0.48511
11;48.39653;0.48848
16;48.39658;0.49185
11;48.39664;0.49523
15;48.39669;0.4986
12;48.39674;0.50198
9;48.39679;0.50535
15;48.39685;0.50872
12;48.3969;0.5121
15;48.39695;0.51547
16;48.397;0.51885
13;48.39705;0.52222
18;48.39711;0.5256
11;48.39716;0.52897
17;48.39721;0.53234
14;48.39726;0.53572
15;48.39731;0.53909
9;48.39736;0.54247
11;48.39742;0.54584
12;48.39747;0.54922
14;48.39752;0.55259
12;48.39757;0.55596
10;48.39762;0.55934
18;48.39767;0.56271
18;48.39772;0.56609
15;48.39777;0.56946
16;48.39782;0.57284
8;48.39787;0.57621
6;48.39792;0.57958
14;48.39797;0.58296
17;48.39802;0.58633
19;48.39807;0.58971
18;48.39812;0.59308
8;48.39817;0.59646
11;48.39145;0.45153
12;48.3915;0.4549
14;48.39156;0.45827
17;48.39161;0.46165
16;48.39166;0.46502
13;48.39172;0.4684
14;48.39177;0.47177
18;48.39182;0.47514
14;48.39188;0.47852
14;48.39193;0.48189
13;48.39198;0.48526
12;48.39204;0.48864
15;48.39209;0.49201
12;48.39214;0.49539
18;48.3922;0.49876
16;48.39225;0.50213
14;48.3923;0.50551
14;48.39235;0.50888
13;48.3924;0.51226
17;48.39246;0.51563
13;48.39251;0.519
19;48.39256;0.52238
