date;hauteur
29/11/2021 02:01;9.43
29/11/2021 08:39;5.03
29/11/2021 14:27;9.82
29/11/2021 21:23;4.52
30/11/2021 03:13;10.09
30/11/2021 09:56;4.33
30/11/2021 15:34;10.58
30/11/2021 22:34;3.73
01/12/2021 04:11;10.98
01/12/2021 11:04;3.46
01/12/2021 16:31;11.49
01/12/2021 23:38;2.9
02/12/2021 05:03;11.92
02/12/2021 12:05;2.63
02/12/2021 17:24;12.37
03/12/2021 00:36;2.17
03/12/2021 05:51;12.76
03/12/2021 13:02;1.94
03/12/2021 18:14;13.06
04/12/2021 01:30;1.66
04/12/2021 06:39;13.37
04/12/2021 13:56;1.48
04/12/2021 19:03;13.47
05/12/2021 02:21;1.42
05/12/2021 07:26;13.67
05/12/2021 14:46;1.29
05/12/2021 19:51;13.53
