;HIEVIR;LACBIL;NATMAU;NATNAT;PODMUR;ZAMLON;CORGIR;ANGFRA;MALMON;PODLIO;RHISCA;VIPASP;CHASTR;TARMAU;TIMLEP;PSAALG;PSAEDW;EMYORB;MAULEP;CORAUS;HEMTUR;ZOOVIV;LACAGI;VIPBER
ID1007;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID1008;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID1009;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID1010;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
ID1011;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0
ID1012;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
ID1013;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
ID1014;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0
ID1015;0;1;1;1;0;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0
ID1016;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0
ID1017;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0
ID104;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
ID1048;0;1;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ID1049;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID1050;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
ID1051;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
ID1052;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
ID1053;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0
ID1054;0;1;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0
ID1055;0;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0
ID1056;0;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0
ID1057;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0
ID1089;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
ID109;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID1090;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
ID1091;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
ID1092;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0
ID1093;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0
ID1094;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
ID1095;0;0;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0
ID1096;0;1;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0
ID110;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ID111;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID1128;1;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
ID1129;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0
ID1130;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0
ID1131;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0
ID1132;0;1;1;1;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID1133;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0
ID1134;0;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0
ID1135;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
ID1136;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0
ID1168;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
ID1169;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID1170;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
ID1171;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0
ID1172;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
ID1173;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0
ID1174;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0
ID1175;0;0;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0
ID1176;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0
