"ilot","annee","presence"
"A",2012,1
"A",2013,1
"A",2014,0
"A",2015,0
"A",2016,0
"A",2017,0
"A",2018,0
"A",2020,0
"A",2021,0
"Digue",2012,0
"Digue",2013,1
"Digue",2014,0
"Digue",2015,0
"Digue",2016,0
"Digue",2017,0
"Digue",2018,0
"Digue",2020,0
"Digue",2021,0
"Ilot_flamant",2012,0
"Ilot_flamant",2013,1
"Ilot_flamant",2014,0
"Ilot_flamant",2015,0
"Ilot_flamant",2016,0
"Ilot_flamant",2017,0
"Ilot_flamant",2018,0
"Ilot_flamant",2020,0
"Ilot_flamant",2021,0
"PC_Hypae",2012,1
"PC_Hypae",2013,1
"PC_Hypae",2014,1
"PC_Hypae",2015,1
"PC_Hypae",2016,1
"PC_Hypae",2017,1
"PC_Hypae",2018,1
"PC_Hypae",2020,1
"PC_Hypae",2021,1
"PC_Mezee",2012,1
"PC_Mezee",2013,1
"PC_Mezee",2014,1
"PC_Mezee",2015,1
"PC_Mezee",2016,1
"PC_Mezee",2017,1
"PC_Mezee",2018,1
"PC_Mezee",2020,1
"PC_Mezee",2021,1
"PC_Protee",2012,1
"PC_Protee",2013,1
"PC_Protee",2014,1
"PC_Protee",2015,1
"PC_Protee",2016,1
"PC_Protee",2017,1
"PC_Protee",2018,1
"PC_Protee",2020,1
"PC_Protee",2021,1
"ES-D1",2012,0
"ES-D1",2013,0
"ES-D1",2014,1
"ES-D1",2015,1
"ES-D1",2016,0
"ES-D1",2017,0
"ES-D1",2018,1
"ES-D1",2020,0
"ES-D1",2021,0
"ES-F1",2012,0
"ES-F1",2013,0
"ES-F1",2014,1
"ES-F1",2015,1
"ES-F1",2016,1
"ES-F1",2017,1
"ES-F1",2018,1
"ES-F1",2020,0
"ES-F1",2021,0
"MR_IF1",2012,0
"MR_IF1",2013,0
"MR_IF1",2014,1
"MR_IF1",2015,1
"MR_IF1",2016,1
"MR_IF1",2017,1
"MR_IF1",2018,1
"MR_IF1",2020,1
"MR_IF1",2021,1
"PC_IF1",2012,0
"PC_IF1",2013,0
"PC_IF1",2014,1
"PC_IF1",2015,1
"PC_IF1",2016,1
"PC_IF1",2017,1
"PC_IF1",2018,1
"PC_IF1",2020,1
"PC_IF1",2021,0
"MR_A1",2012,0
"MR_A1",2013,0
"MR_A1",2014,0
"MR_A1",2015,0
"MR_A1",2016,1
"MR_A1",2017,1
"MR_A1",2018,0
"MR_A1",2020,1
"MR_A1",2021,1
"MR_A2",2012,0
"MR_A2",2013,0
"MR_A2",2014,0
"MR_A2",2015,0
"MR_A2",2016,0
"MR_A2",2017,1
"MR_A2",2018,1
"MR_A2",2020,0
"MR_A2",2021,0
"MR_A3",2012,0
"MR_A3",2013,0
"MR_A3",2014,0
"MR_A3",2015,0
"MR_A3",2016,0
"MR_A3",2017,1
"MR_A3",2018,1
"MR_A3",2020,1
"MR_A3",2021,1
"JC_5",2012,0
"JC_5",2013,0
"JC_5",2014,0
"JC_5",2015,0
"JC_5",2016,0
"JC_5",2017,0
"JC_5",2018,0
"JC_5",2020,1
"JC_5",2021,0
"MR_A4",2012,0
"MR_A4",2013,0
"MR_A4",2014,0
"MR_A4",2015,0
"MR_A4",2016,0
"MR_A4",2017,0
"MR_A4",2018,0
"MR_A4",2020,0
"MR_A4",2021,1
