station;coniferes;pente;presence
An01;31.94485186;167.2630005;1
An02;11.21537901;73.63782501;1
An08;38.36780958;100.0881882;1
An09;40.84021319;85.06777191;1
An10;41.47704185;85.06777191;1
An11;40.53861789;85.06777191;1
An13;27.44931407;148.675705;1
An16;42.1875;160.8808594;1
An17;44.94918575;160.8808594;1
An24;46.61181026;75.14452362;1
An25;47.13204024;80.42440033;1
An27;44.14932681;88.47029877;1
An28;42.69827005;88.47029877;1
An39;48.6814346;71.05184174;1
An42;58.82703185;71.05184174;1
Ar01;3.041507634;34.24781036;0
Ar02;4.608050847;37.39289474;1
Ar03;32.87458016;83.2265625;1
Ar04;28.11559948;83.2265625;1
Ar05;22.04634309;83.2265625;1
Ar06;25.12576479;83.2265625;1
Ar07;39.15682968;33.35960388;1
Ar08;23.0987003;33.35960388;0
Ar09;13.43481138;50.85303497;0
Ar10;9.268357456;50.85303497;0
Ar11;25.27221401;27.73100662;0
An03;14.05618964;73.63782501;1
An04;22.21482468;83.22452545;1
An06;5.634905107;83.22452545;1
An12;35.31806134;85.06777191;1
An14;38.85556068;148.675705;1
An15;40.997346;108.7793427;1
An18;35.8995232;160.8808594;1
An26;40.83150451;87.90976715;1
An29;56.60377358;83.83779144;1
An31;56.48389904;103.5044937;1
An32;47.04982517;103.5044937;1
An33;53.17496574;89.51462555;1
An34;50.1145213;86.02670288;1
An35;55.06954612;67.85868835;1
An36;54.54046137;70.43733215;1
An37;36.81126761;70.43733215;1
An38;41.18692253;71.05184174;1
An40;50.41906327;71.05184174;1
An41;58.27046918;71.05184174;1
An43;57.7086656;71.05184174;1
An05;2.100936287;83.22452545;0
An07;33.76146789;100.0881882;0
An19;34.01360544;134.3415527;0
An20;91.50417827;116.9558487;0
An21;89.11913016;119.190567;0
An22;82.27237789;119.190567;0
An23;76.15881922;119.190567;0
An44;39.19901555;59.20151138;0
An45;36.57349638;57.40089798;0
An46;36.80343619;45.85092545;0
An47;54.85286526;45.85092545;0
An48;8.509771987;55.57147217;0
An49;2.260018639;55.57147217;0
An50;2.969539262;37.8217926;0
